,,,,,Project,,,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C1f1,,,,,,,,,,,,1,Carbonate Total,"Soil samples are air-dried and sieved to 2.0 mm.  Between 0.50 and 2.00 grams of soil are shaken with 25.0 mL 0.4M Acetic Acid for 16 hr.  The same is done for a range of sample sizes from a pure calcite standard reference material.  pH is then determined on a Mettler Toledo Seven-Multi pH meter with an InLab Routine Pro combination electrode, calibrated to pH buffers 4, 7, and 10.  %CCE is calculated stoichiametrically based on the standard curve of pH values for treated calcite reference samples.","Allison, L. E. and C. D. Moodie. Carbonate. Method 91-4. p. 1387. in Ref. Source C.",S10,,,,,,,,,,,,,,,,
,,,C1f2,4E3a1a1,,,,,,,,,1,,,"Effervescence, 1N HCl (Hydrogen chloride), Presence of Carbonates",,"SSIR No. 42, v5, pg 35, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=63",,,,,,,,,,,,,,,,,
,,,C1f3,,,,,1,,,1,,,,,pressure calcimeter,"2 gram scoop, AgVise",,,,,,,,,,,,,,,,,,
,,,C1f4,,,,,,,,,,,,,inorganic_carbon_percent,,,,,,,,,,,,,,,,,,,
,,C1g,,,,,,,,,,,,,,Total CN Analysis,Total Combustion analysis done in Gutknehct Lab,,,,,,,,,,,,,,,,,,
,,C1h,,,,,,,,,,,,,,organic_loss_on_ign_percent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C1zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C2,,,,,,,,,,,,,,,pH,,,,,,,,,,,,,,,,,,,
,,C2a,,,,,,,,,,,,,,1:1 Soil pH,,,,,,,,,,,,,,,,,,,
,,,C2a1,,1,1,,,0,1,,,0,,1,1:1 Soil pH,"Haney.  UMN  STRAL.   Soil pH is determined on a 1:1 (V/V) soil/water mixture composed of a 10 gram NCR-13 volumetric soil scoop and 10 mL double-deionized water. Samples are stirred both before and after a 15 minute equilibration period. pH is measured on a Mettler Toledo Seven-Multi pH meter with an InLab Routine Pro combination electrode, calibrated to pH buffers 4, 7, and 10.","Watson, M.E. and J.R. Brown. pH and Lime Requirement. p. 13-16. in Ref. Source E.",S36E,,,,,,,,,,,,,,,,
,,,C2a2,,,,,,,,,,,,,1:1 Soil pH,"Soil pH is determined on a 1:1 (V/V) soil/water mixture composed of a 10 gram NCR-13 volumetric soil scoop and 10 mL double-deionized water. Sample is shaken every 20 mins until an hour. pH is measured on a Accument basic, AB 15 pH meter, Fisher Scientific, calibrated to pH buffers 4, 7, and 10.",,,Jelinski Lab Method,,,,,,,,,,,,,,,
,,C2b,,,,,,,,,,,,,,Soil pH CaCl2 (Calcium chloride),,,,,,,,,,,,,,,,,,,
,,,C2b1,,0,0,,,0,0,0,,0,0,0,1:1:1 Soil pH,"Soil pH is determined on a 1:1:1 (V/V/V) soil/water/CaCl2 mixture composed of a 10 ml soil volume and 10 mL double-deionized water. Sample is shaken every 20 mins until an hour. pH is measured on a Accument basic, AB 15 pH meter, Fisher Scientific, calibrated to pH buffers 4, 7, and 10. Add 10 ml of CaCl2 and take a second reading. Jelinski Lab.",,,,,,,,,,,,,,,,,,
,,,C2b2,4C1a2a,,,,,,,,,,,,"pH, Routine, 1:1 Water and 1:2 0.01M CaCl2 (Calcium chloride)","The pH is measured in soil-water (1:1) and soil-salt (1:2 CaCl2) solutions. For convenience, the pH is initially measured in water and then measured in CaCl2. With the addition of an equal volume of 0.02 M CaCl2 to the soil suspension that was prepared for the water pH, the final soil-solution ratio is 1:2 0.01 M CaCl2.","SSIR No. 42, v5, pg 276, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=304",,,,,,,,,,,,,,,,,
,,C2c,,,1,,,,,1,,,,,,"pH (1:1 Soluble Salt, Excess Lime, WDRF (Woodruff) Buffer)","Haney, Ward Labs The buffer solution consisted of calcium acetate, para-nitro- phenol, and magnesium oxide. Estimation of Lime",,,,,,,,,,,,,,,,,,
,,C2d,,,0,,,,,0,,,0,,1,Sikora Buffer Index (lime requirement test),"The Sikora Buffer Index (lime requirement test) is determined by adding 10 milliliters of buffer solution to the above 1:1 sample. The Buffer Index of the suspension is determined with the pH meter, after the sample has been stirred intermittently for 15 minutes.","Watson, M.E. and J.R. Brown. pH and Lime Requirement. p. 13-16. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.",,,,,,,,,,,,,,,,,
,,C2e,,,0,,,,,0,,,0,,1,Total Neutralizing Power (TNP),,,,,,,,,,,,,,,,,,,
,,C2f,,,0,,,,,0,,,0,,1,Effective Neutralizing Power (ENP) and lbs. ENP/ton,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C2zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C3,,,,,,,,,,,,,,,"Potassium, K",,,,,,,,,,,,,,,,,,,
,,C3a,,,,,,,,,,,,,,Available K,,,,,,,,,,,,,,,,,,,
,,,C3a1,,1,,,,,1,,,0,,0,"Available K, lbs/A K2O (potassium oxide)","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C3a2,,0,1,,,,0,,,0,,1,Available Potassium,"Available Potassium is extracted by shaking 1 gram of air dried soil in 10mL of 1 M NH4OAc for 5 min. The sample is then filtered, and the filtrate is analyzed by atomic emission in a Perkin Elmer Analyst 100 spectrometer.   Potassium is extracted from the soil by mixing 10 milliliters of 1 normal ammonium acetate, pH7 with a 1 gram scoop of air-dried soil and shaken for 5 minutes. The available potassium is measured by analyzing the filtered extract on an atomic absorption spectrometer set on emission mode at 776 nm. The results are reported as parts per million (ppm) of potassium (K) in the soil.","Warncke, D. and J.R. Brown. Potassium and Other Basic Cations. P. 31-33    Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.",S22,,,,,,,,,,,,,,,,
,,C3b,,,1,,,,,1,,,0,,0,H3A ICAP (Inductively Coupled Atomic Plasma) Potassium,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,C3c,,,0,,,,,0,,,0,,1,Extractable/exchangeable K,"Available Potassium is extracted by shaking 1 gram of air dried soil in 10mL of 1 M NH4OAc for 5 min. The sample is then filtered, and the filtrate is analyzed by atomic emission in a Perkin Elmer Analyst 100 spectrometer.","Thomas, G. W. Exchange Cations. Method 9-3.1. p.159-165   Page, A. L. (ed.) 1982. Methods of soil analysis. Part 2. Chemical and Microbiological Properties, 2nd Ed., ASA, SSA, Madison, WI 53711.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES  Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S23,,,,,,,,,,,,,,,,
,,C3d,,4D2a2d1-22,,,,,,,,,,,,"Elements, Water Extract, inductively coupled plasma mass spectrophotometer (ICP–MS), Potassium","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C3zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C4,,,,,,,,,,,,,,,"Nitrogen, N",,,,,,,,,,,,,,,,,,,
,,C4a,,4H2a2,1,1,1,1,,1,,,0,,1,Total Nitrogen,"MVTL, UMN STRAL, Dumas Method - We measure total nitrogen by combustion analysis using the Elementar Rapid CS Cube.","SSIR No. 42, v5, pg 464, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=492","S06, S09",,,,,,,,,,,,,,,,
,,,C4a1,,,,,,,,,,,,,total_nitrogen_percent,,,,,,,,,,,,,,,,,,,
,,C4b,,,,,,,,,,,,,,"H3A Extract, Haney Test by Ward Labs","Haney, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4b1,,,,,,,,,,,,,"H3A, Nitrate",,,,,,,,,,,,,,,,,,,
,,,C4b2,,,,,,,,,,,,,"H3A, Ammonium",,,,,,,,,,,,,,,,,,,
,,,C4b3,,,,,,,,,,,,,"H3A, Inorganic Nitrogen",,,,,,,,,,,,,,,,,,,
,,C4c,,,0,1,,,,0,,,0,,1,Nitrate and Nitrite,"UMN STRAL, Nitrate and nitrite are extracted by shaking 2 g of air dried soil in 30 mL 0.01 M CaSO4for 15 minutes followed by filtration. The nitrate in the filtrate is measured on a Lachat Quikchem 8500 Flow Injection Analyzer. In this method, the nitrate is reduced to nitrite in a copperized cadmium column. The nitrite then reacts with sulfanilamide under acidic conditions to form a diazo compound. This in turn couples with N-1-Napthylethylenediamine dihydrochloride to form a reddish purple azo dye, which is measured colorimetrically at 520 nm. Nitrite is determined by the same process but without using the copperized cadmium column."," Willis, R. B. and C. E. Gentry. 1987. Automated method for determining nitrate and nitrite in water and soil extracts. Commun. Soil Sci. Plant. Anal. 18:625-636.  Gelderman, R.H. and D. Beegle. Nitrate-Nitrogen. p. 17-20. in Ref. Source E.   Henriksen A., and A. R. Selmer-Olsen. 1970. Automatic methods for determining nitrate and nitrite in water and soil extracts. Analyst 95:514-518.   RFA Methodology. 1986. Nitrate/Nitrate A303-S171. Ref. Source L.","S03, S04, S05",,,,,,,,,,,,,,,,
,,C4d,,,0,,,,,0,,,0,,1,Ammonium,"Ammonium is extracted by shaking 2 g of moist soil with 30 mL of 2 M KCl for 30 min. The extract is analyzed on a Lachat QuikChem 8500 Flow Injectin Analyzer. In this method, the ammonium reacts with salicylate in the presence of  nitroprusside (catalyst) to form an emerald green complex, which is measured colorimetrically at 660 nm. [Nitrate and nitrite can also be determined from the 2 M KCl extract.]",Keeney D. R. and Nelson D. W. Nitrogen-Inorganic Forms. Method 33-3.2 p. 643-698. in Ref. Source H.   RFA Methodology. 1986. Ammonia Nitrogen A303-S171. Ref. Source L.,"S04, S05",,,,,,,,,,,,,,,,
,,C4e,,4D9a1a,,,,,,,,,,,,"Nitrate, KCl Extractable",A 2.5-g soil sample is mechanically shaken for 30 min in 25 mL of 1 M KCl solution.,"SSIR No. 42, v5, pg 360, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=388 Keeney, D.R., and D.W. Nelson. 1982. p. 643–698. Nitrogen–inorganic forms.
In A.L. Page, R.H. Miller, and D.R. Keeney (eds.) Methods of soil analysis.
Part 2. Chemical and microbiological properties. 2nd ed. Agron. Monogr. 9.
ASA and SSSA, Madison, WI.",,,,,,,,,,,,,,,,,
,,C4f,,4D10a1,,,,1,,,,,,,,"Nitrogen, Mineralizable (EPA)",,"Drinkwater, L. E., Cambardella, C. A., Reeder, J. D., & Rice, C. W. (1997). Potentially Mineralizable Nitrogen as an Indicator of Biologically Active Soil Nitrogen. In Methods for Assessing Soil Quality (pp. 217–229). John Wiley & Sons, Ltd. https://doi.org/10.2136/sssaspecpub49.c13, SSIR No. 42, v5, pg 365, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=393",,,,,,,,,,,,,,,,,
,,C4g,,,,,,,,,,,,,,"Water Extract, Haney Test, Ward labs","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4g1,,,,,,,,,,,,,Total Nitrogen,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4g2,,,,,,,,,,,,,Organic Nitrogen,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,C4h,,,,,,,,,,,,,,Calculations from Haney Test by Ward Labs,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4h1,,,,,,,,,,,,,Organic C: Organic N,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4h2,,,,,,,,,,,,,Organic N: Inorganic N,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4h3,,,,,,,,,,,,,Organic Nitrogen Release,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C4h4,,,,,,,,,,,,,Organic Nitrogen Reserve,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C4zz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C5,,,,,,,,,,,,,,,Phosphorous,,,,,,,,,,,,,,,,,,,
,,C5a,,,,,,,,,,,,,,"Phosphorous, Bray",,,,,,,,,,,,,,,,,,,
,,,C5a1,,0,1,,,,0,,,0,,1,"Phosphorous, Bray-1 Extractable (for non-calcareous soils)",Phosphorus is extracted by shaking 1 g of air dried soil in 10 mL of 0.025 M HCl and 0.03 M NH4F for 5 minutes. Phosphorus is determined on the filtrate by the molybdate-blue method using ascorbic acid as a reductant. Color development is measured at 880 nm on a Brinkmann PC 900 probe colorimeter.,"Frank K., D. Beagle and J. Denning. Phosphorus. p.21-29.   Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.",S24,,,,,,,,,,,,,,,,
,,,C5a2,4D3a1,,,,,,,,,,,,"Phosphorus, Bray 1",A 2.5-g soil sample is shaken with 25 mL of Bray P-1 extracting solution for 15 min. The sample is centrifuged until solution is free of soil mineral particles and then filtered until clear extracts are obtained. A 2-mL aliquot is diluted with 8-mL of ascorbic acid molybdate solution. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil (4D3a1).,"SSIR No. 42, v5, pg 327, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=355",,,,,,,,,,,,,,,,,
,,,C5a3,4D4a1,,,,,,,,,,,,"Phosphorus, Bray 2",A 2.5-g soil sample is shaken with 25 mL of Bray P-2 extracting solution for 15 min. The sample is centrifuged until solution is free of soil mineral particles and then filtered until clear extracts are obtained. A 2-mL aliquot is diluted with 8-mL of ascorbic acid molybdate solution. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil (4D4a1).,"SSIR No. 42, v5, pg 331, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=359",,,,,,,,,,,,,,,,,
,,,C5a4,,,,,,,,,,,,,phosphorus_mehlich3_ppm,,,,,,,,,,,,,,,,,,,
,,,C5a5,,,,,,,,,,,,,phosphorus_mehlich3_lbs_acre,,,,,,,,,,,,,,,,,,,
,,C5b,,,,,,,,,,,,,,"Phosphorous, Olsen",,,,,,,,,,,,,,,,,,,
,,,C5b1,,0,1,,,,0,,,0,,1,"Phosphorous, Olsen Bicarbonate Extractable (for calcareous soils)","Phosphorus is extracted by shaking 1 g of air dried soil in 20 ml of 0.5 M NaHCO3, pH 8.5, for 30 minutes. Phosphorus is determined on the filtrate by the molybdate-blue method using ascorbic acid as a reductant. Color development is measured at 900 nm on a Brinkmann PC 900D probe colorimeter.","Frank K., D. Beagle and J. Denning. Phosphorus. p.21-29.   Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.",S25,,,,,,,,,,,,,,,,
,,,C5b2,4D5a1,,,,,,,,,,,,"Phosphorus, Olsen",A 1.0-g soil sample is shaken with 20 mL of Olsen sodium-bicarbonate extracting solution for 30 min. The sample is centrifuged until solution is free of soil mineral particles and then filtered until clear extracts are obtained. Dilute 5-mL of sample extract with 5-mL of color reagent. The absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil (4D5a1).,"SSIR No. 42, v5, pg 336, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=364",,,,,,,,,,,,,,,,,
,,C5c,,,0,,,,,0,,,0,,1,Total phosphorus,"Total P Microwave Procedure: digest 0.5 g of air dried soil with 10 mL of HNO3 in a 50 mL quartz vessel using microwave digestion for 6.5 minutes at 175oC. Determination of P, K, Na, Ca, Mg, Al, B, Fe, Mn, Cu, Zn, Cd, Ca, Ni, Pb, Co, Mo, Si, S, As, Ti, Be, Sr, Rb, Li, V, and Ba by ICP-AES.","Tadon, H., M.P. Cuescas, and E.H. Tyner. 1968. An acid-free vanadate-molybdate reagent for the determination of total P in soils. Soil Sci. Soc. Am. Proc. 32:48-51.",S31,,,,,,,,,,,,,,,,
,,C5d,,,0,,,,,0,,,0,,1,Nutrient Management P,"For situations involving soil phosphorus and nutrient management decisions where extractable P is likely to exceed 100 ppm on the Bray test and 50 ppm on the Olsen test. The range for the nutrient management P test is 20-250 ppm. This test is basically the same as the Olsen P test, but with a dilution of the extract before colorimetric analysis. In detail: A 1 gram scoop of soil and 20 milliliters of 0.5 molar sodium bicarbonate (NaHCO3) solution are shaken for 30 minutes. The mixture is filtered and the filtrate is diluted 5 X with sodium bicarbonate. Color is developed with the molybdate-blue/ascorbic acid method. The intensity of blue color, corresponding to the amount of P in the extract, is measured with the Brinkman PC 900 Probe Colorimeter at 880 nm. Results are reported as parts per million (ppm) extractable phosphorus (P) in the soil.",,,,,,,,,,,,,,,,,,
,,C5e,,,,,,,,,,,,,,"Phosphorus, measured on water ",,,,,,,,,,,,,,,,,,,
,,,,4D2a1b1,,,,,,,,,,,,"Phosphate, Water Soluble",,"SSIR No. 42, V5, pg 292, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=320",,,,,,,,,,,,,,,,,
,,C5f,,4D7a1,,,,,,,,,,,,"Phosphorus, Citric Acid Extractable",,"SSIR No. 42, v5, pg 351, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=379",,,,,,,,,,,,,,,,,
,,C5g,,4D8a1,,,,,,,,,,,,New Zealand Phosphorus Retention,,"SSIR No. 42, v5, pg 356, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=384",,,,,,,,,,,,,,,,,
,,C5h,,,,,,,,,,,,,,"H3A Extract, Haney Test, Ward Labs","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C5h1,,,,,,,,,,,,,"Total (ICAP, Inductively Coupled Atomic Plasma) Phosphorus","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C5h2,,,,,,,,,,,,,"Inorganic (FIA, Flow Injection Analysis) Phosphorus","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C5h3,,,,,,,,,,,,,Organic Phosphorus,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,C5i,,,,,,,,,,,,,,"Haney Test, Ward Labs Calculations","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C5i1,,,,,,,,,,,,,Organic Phosphorus Release,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C5i2,,,,,,,,,,,,,Organic Phosphorus Reserve,"Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,C5j,,4D2a2d1-22,,,,,,,,,,,,"Elements, Water Extract, inductively coupled plasma mass spectrophotometer (ICP–MS), Phosphorus","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C5zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C6,,,,,,,,,,,,,,,Micronutreints,,,,,,,,,,,,,,,,,,,
,,C6a,,,0,,,,,0,,,0,,1,"Boron, hot water extractable","Boron is extracted by boiling under reflux 10 g of air dry soil with 20mL of 0.01M CaCl2 for 5 min. in a fiber digestion apparatus. After slight cooling, the sample is filtered and the filtrate is acidified and analyzed by Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES).","Watson, M. E. Boron. p. 45-48.   Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   Bingham, F. T. Boron. Method 25-9.1, p. 443. in Page, A. L. (ed.) 1982. Methods of soil analysis. Part 2. Chemical and Microbiological Properties, 2nd Ed., ASA, SSA, Madison, WI 53711.   Plüger and G.H. Friedrich (West Germany). 1972. Determination of total and cold-extractable fluoride in soils and stream sediments with an ion-selective fluoride electrode. pp.421-427. Proceedings of the Fourth International Geochemical Exploration Symposium, London.",S20,,,,,,,,,,,,,,,,
,,C6b,,,,,,,,,,,,,,"H3A Extract, Haney Tests by Ward Labs, ICAP (Inductively Coupled Atomic Plasma) (Zn, Fe, Cu, Mn, Al)","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C6b1,,,,,,,,,,,,,"ICAP Copper, Cu","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C6b2,,,,,,,,,,,,,"ICAP Iron, Fe","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C6b3,,,,,,,,,,,,,"ICAP Manganese, Mn","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C6b4,,,,,,,,,,,,,"ICAP Zinc, Zn","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C6zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C7,,,,,,,,,,,,,,,Sodicity/Salinity (Electric Conductivity),,,,,,,,,,,,,,,,,,,
